City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,yulara,-25.2406,130.9889,23.5,45,100,4.77,AU,1681422180
242,alice springs,-23.7,133.8833,18.75,59,33,0.0,AU,1681422180
243,villazon,-22.0866,-65.5942,15.56,15,1,6.17,BO,1681422181
244,tomatlan,19.9333,-105.25,31.18,24,3,5.13,MX,1681422181
245,bathsheba,13.2167,-59.5167,28.34,61,20,7.72,BB,1681422181
246,angoche,-16.2325,39.9086,24.36,85,61,1.23,MZ,1681422182
247,koundara,12.4833,-13.3,30.91,31,72,1.03,GN,1681422182
248,fortuna,40.5982,-124.1573,13.85,66,44,1.79,US,1681422182
249,san quintin,30.4833,-115.95,15.13,60,30,7.86,MX,1681422183
250,lompoc,34.6391,-120.4579,22.05,63,20,11.18,US,1681422183
251,tabuk,17.4189,121.4443,23.57,91,86,1.23,PH,1681422184
252,srednekolymsk,67.45,153.6833,-11.56,88,77,2.4,RU,1681422185
253,lagoa,39.05,-27.9833,16.28,84,100,4.83,PT,1681422185
254,severnyy,50.677,36.5532,7.02,93,100,6.0,RU,1681422186
255,adrar,20.5022,-10.0711,28.13,30,81,2.48,MR,1681422186
256,isla aguada,18.7833,-91.4667,29.02,71,13,7.28,MX,1681422187
257,sur,22.5667,59.5289,29.55,47,1,2.25,OM,1681422188
258,ishigaki,24.3448,124.1572,24.07,94,75,3.09,JP,1681422176
259,slave lake,55.2834,-114.769,5.99,45,75,2.57,CA,1681422189
260,sokolka,53.4072,23.5023,9.26,97,100,3.43,PL,1681422194
261,arraial do cabo,-22.9661,-42.0278,25.92,83,0,5.14,BR,1681422194
262,clyde river,70.4692,-68.5914,-11.87,67,75,7.72,CA,1681422066
263,victoria,22.2855,114.1577,23.51,89,92,3.58,HK,1681422059
264,geraldton,-28.7667,114.6,17.23,63,40,10.8,AU,1681422196
265,lakes entrance,-37.8811,147.981,11.76,87,70,2.38,AU,1681422196
266,camacha,33.0833,-16.3333,15.68,77,75,6.69,PT,1681422197
267,teguldet,57.3064,88.1667,0.32,97,100,4.43,RU,1681422197
268,aksay,47.26,39.87,12.36,86,100,5.36,RU,1681422198
269,marzuq,14.4,46.4667,23.06,69,97,2.84,YE,1681422198
270,zhigalovo,54.8097,105.1578,-9.3,90,22,1.35,RU,1681422199
